Epoch,Time(s),Loss,Precision
00236,2.2070,0.0942,0.8552
00237,2.2070,0.0941,0.8900
00238,2.2077,0.0942,0.8398
00239,2.2078,0.0943,0.9090
00240,2.2077,0.0948,0.8116
00241,2.2077,0.0951,0.9273
00242,2.2077,0.0967,0.8040
00243,2.2076,0.0951,0.9044
00244,2.2076,0.0944,0.8619
00245,2.2076,0.0935,0.8396
00246,2.2076,0.0938,0.9137
00247,2.2076,0.0948,0.8295
00248,2.2075,0.0939,0.8857
00249,2.2075,0.0933,0.8804
00250,2.2075,0.0932,0.8409
00251,2.2075,0.0934,0.9046
00252,2.2075,0.0939,0.8393
00253,2.2074,0.0933,0.8793
00254,2.2074,0.0929,0.8821
00255,2.2074,0.0928,0.8447
00256,2.2074,0.0930,0.8979
00257,2.2073,0.0932,0.8466
00258,2.2073,0.0928,0.8827
00259,2.2073,0.0925,0.8788
00260,2.2079,0.0924,0.8549
00261,2.2079,0.0924,0.8927
00262,2.2079,0.0926,0.8489
00263,2.2079,0.0924,0.8894
00264,2.2078,0.0923,0.8660
00265,2.2078,0.0920,0.8716
00266,2.2078,0.0919,0.8823
00267,2.2078,0.0919,0.8576
00268,2.2077,0.0919,0.8939
00269,2.2077,0.0919,0.8516
00270,2.2077,0.0919,0.8927
00271,2.2077,0.0918,0.8542
00272,2.2077,0.0917,0.8893
00273,2.2076,0.0915,0.8656
00274,2.2076,0.0914,0.8804
00275,2.2076,0.0913,0.8742
00276,2.2076,0.0912,0.8754
00277,2.2075,0.0911,0.8821
00278,2.2075,0.0911,0.8667
00279,2.2075,0.0910,0.8884
00280,2.2075,0.0910,0.8533
00281,2.2074,0.0910,0.9043
00282,2.2074,0.0913,0.8221
00283,2.2074,0.0918,0.9330
00284,2.2074,0.0941,0.7852
00285,2.2074,0.0933,0.9370
00286,2.2074,0.0950,0.8488
00287,2.2073,0.0908,0.8050
00288,2.2073,0.0923,0.9468
00289,2.2073,0.0971,0.8657
00290,2.2073,0.0904,0.7094
00291,2.2073,0.0979,0.9648
00292,2.2072,0.1119,0.9434
00293,2.2073,0.1003,0.5509
00294,2.2072,0.1125,0.9401
00295,2.2072,0.1003,0.9627
00296,2.2072,0.1106,0.8901
00297,2.2072,0.0953,0.5720
00298,2.2072,0.1106,0.8559
00299,2.2072,0.0957,0.9019
00300,2.2072,0.1070,0.8773
00301,2.2071,0.1048,0.7790
00302,2.2071,0.0999,0.7553
00303,2.2071,0.0969,0.8261
00304,2.2071,0.0937,0.8155
00305,2.2071,0.0986,0.8896
00306,2.2071,0.0991,0.9255
00307,2.2071,0.0958,0.8814
00308,2.2071,0.0924,0.7628
00309,2.2070,0.0964,0.8019
00310,2.2070,0.0949,0.8837
00311,2.2070,0.0933,0.9104
00312,2.2070,0.0943,0.9059
00313,2.2070,0.0935,0.8656
00314,2.2070,0.0928,0.8218
00315,2.2069,0.0935,0.8258
00316,2.2069,0.0925,0.8596
00317,2.2069,0.0918,0.8826
00318,2.2069,0.0922,0.8870
00319,2.2069,0.0924,0.8743
00320,2.2069,0.0918,0.8595
00321,2.2068,0.0911,0.8482
00322,2.2068,0.0910,0.8573
00323,2.2068,0.0909,0.8823
00324,2.2068,0.0909,0.8956
00325,2.2068,0.0908,0.8882
00326,2.2068,0.0903,0.8622
00327,2.2067,0.0901,0.8465
00328,2.2067,0.0904,0.8583
00329,2.2067,0.0901,0.8810
00330,2.2067,0.0897,0.8902
00331,2.2067,0.0896,0.8808
00332,2.2067,0.0896,0.8622
00333,2.2067,0.0895,0.8542
00334,2.2067,0.0893,0.8682
00335,2.2066,0.0890,0.8797
00336,2.2066,0.0890,0.8835
00337,2.2066,0.0890,0.8764
00338,2.2066,0.0887,0.8649
00339,2.2066,0.0886,0.8656
00340,2.2065,0.0885,0.8783
00341,2.2065,0.0884,0.8865
00342,2.2065,0.0883,0.8826
00343,2.2065,0.0881,0.8712
00344,2.2065,0.0881,0.8657
00345,2.2065,0.0880,0.8764
00346,2.2065,0.0878,0.8841
00347,2.2064,0.0877,0.8822
00348,2.2064,0.0876,0.8731
00349,2.2064,0.0875,0.8698
00350,2.2064,0.0874,0.8761
00351,2.2064,0.0873,0.8825
00352,2.2064,0.0872,0.8805
00353,2.2064,0.0871,0.8742
00354,2.2064,0.0870,0.8725
00355,2.2063,0.0869,0.8783
00356,2.2063,0.0868,0.8833
00357,2.2063,0.0867,0.8798
00358,2.2063,0.0866,0.8724
00359,2.2063,0.0865,0.8743
00360,2.2063,0.0864,0.8817
00361,2.2063,0.0863,0.8811
00362,2.2062,0.0862,0.8753
00363,2.2062,0.0861,0.8736
00364,2.2062,0.0860,0.8779
00365,2.2062,0.0859,0.8808
00366,2.2062,0.0858,0.8780
00367,2.2062,0.0857,0.8742
00368,2.2062,0.0856,0.8764
00369,2.2061,0.0855,0.8801
00370,2.2061,0.0854,0.8793
00371,2.2061,0.0853,0.8766
00372,2.2061,0.0852,0.8774
00373,2.2061,0.0851,0.8802
00374,2.2061,0.0850,0.8793
00375,2.2061,0.0850,0.8770
00376,2.2060,0.0849,0.8779
00377,2.2060,0.0848,0.8809
00378,2.2060,0.0847,0.8805
00379,2.2060,0.0846,0.8781
00380,2.2060,0.0845,0.8788
00381,2.2060,0.0844,0.8808
00382,2.2060,0.0843,0.8800
00383,2.2060,0.0842,0.8774
00384,2.2060,0.0841,0.8787
00385,2.2059,0.0840,0.8804
00386,2.2059,0.0840,0.8797
00387,2.2059,0.0839,0.8784
00388,2.2059,0.0838,0.8799
00389,2.2059,0.0837,0.8794
00390,2.2059,0.0836,0.8782
00391,2.2059,0.0835,0.8788
00392,2.2059,0.0834,0.8818
00393,2.2059,0.0833,0.8805
00394,2.2059,0.0832,0.8800
00395,2.2058,0.0831,0.8810
00396,2.2058,0.0830,0.8811
00397,2.2058,0.0829,0.8804
00398,2.2058,0.0829,0.8812
00399,2.2058,0.0828,0.8816
00400,2.2058,0.0827,0.8810
00401,2.2058,0.0826,0.8814
00402,2.2058,0.0825,0.8820
00403,2.2058,0.0824,0.8818
00404,2.2062,0.0823,0.8820
00405,2.2062,0.0822,0.8834
00406,2.2062,0.0821,0.8827
00407,2.2061,0.0820,0.8829
00408,2.2061,0.0819,0.8833
00409,2.2061,0.0818,0.8828
00410,2.2061,0.0817,0.8839
00411,2.2061,0.0816,0.8836
00412,2.2061,0.0815,0.8825
00413,2.2061,0.0814,0.8836
00414,2.2061,0.0813,0.8832
00415,2.2061,0.0812,0.8834
00416,2.2061,0.0811,0.8839
00417,2.2061,0.0810,0.8836
00418,2.2060,0.0810,0.8844
00419,2.2061,0.0809,0.8837
00420,2.2060,0.0808,0.8861
00421,2.2060,0.0807,0.8823
00422,2.2060,0.0806,0.8910
00423,2.2060,0.0805,0.8751
00424,2.2060,0.0804,0.9008
00425,2.2060,0.0804,0.8648
00426,2.2060,0.0804,0.9057
00427,2.2060,0.0804,0.8707
00428,2.2060,0.0801,0.8874
00429,2.2059,0.0799,0.8954
00430,2.2059,0.0799,0.8689
00431,2.2059,0.0799,0.9018
00432,2.2059,0.0798,0.8754
00433,2.2059,0.0796,0.8866
00434,2.2059,0.0795,0.8942
00435,2.2059,0.0794,0.8717
00436,2.2059,0.0794,0.9009
00437,2.2059,0.0794,0.8734
00438,2.2058,0.0792,0.8938
00439,2.2058,0.0791,0.8869
00440,2.2058,0.0790,0.8810
00441,2.2058,0.0789,0.8979
00442,2.2058,0.0789,0.8742
00443,2.2058,0.0788,0.9037
00444,2.2058,0.0788,0.8712
00445,2.2058,0.0787,0.9041
00446,2.2057,0.0786,0.8736
00447,2.2057,0.0785,0.9005
00448,2.2057,0.0784,0.8791
00449,2.2057,0.0783,0.8955
00450,2.2057,0.0782,0.8831
00451,2.2057,0.0781,0.8935
00452,2.2057,0.0780,0.8827
00453,2.2057,0.0779,0.8959
00454,2.2057,0.0778,0.8781
00455,2.2056,0.0778,0.9068
00456,2.2056,0.0778,0.8606
00457,2.2056,0.0780,0.9281
00458,2.2056,0.0790,0.8113
00459,2.2056,0.0801,0.9483
00460,2.2056,0.0830,0.8552
00461,2.2056,0.0781,0.8333
00462,2.2056,0.0791,0.9399
00463,2.2056,0.0816,0.8847
00464,2.2056,0.0780,0.7788
00465,2.2056,0.0827,0.9507
00466,2.2056,0.0841,0.8872
00467,2.2056,0.0813,0.7284
00468,2.2056,0.0860,0.9459
00469,2.2055,0.0822,0.9023
00470,2.2055,0.0829,0.8321
00471,2.2055,0.0789,0.8085
00472,2.2055,0.0817,0.9340
00473,2.2055,0.0802,0.8766
00474,2.2055,0.0814,0.8486
00475,2.2055,0.0782,0.8406
00476,2.2055,0.0800,0.9207
00477,2.2055,0.0786,0.8752
00478,2.2055,0.0795,0.8566
00479,2.2055,0.0776,0.8685
00480,2.2055,0.0786,0.9127
00481,2.2054,0.0778,0.8774
00482,2.2054,0.0780,0.8611
00483,2.2054,0.0773,0.8890
00484,2.2054,0.0775,0.9092
00485,2.2054,0.0774,0.8728
00486,2.2054,0.0769,0.8643
00487,2.2054,0.0771,0.9048
00488,2.2054,0.0769,0.8966
00489,2.2054,0.0770,0.8728
00490,2.2054,0.0765,0.8857
00491,2.2054,0.0769,0.8974
00492,2.2054,0.0763,0.8824
00493,2.2057,0.0767,0.8966
00494,2.2057,0.0762,0.8876
00495,2.2057,0.0765,0.8841
00496,2.2057,0.0761,0.8989
00497,2.2057,0.0762,0.8967
00498,2.2057,0.0759,0.8771
00499,2.2056,0.0761,0.8945
00500,2.2056,0.0758,0.8987
00501,2.2056,0.0759,0.8840
00502,2.2056,0.0757,0.8913
00503,2.2056,0.0757,0.8948
00504,2.2056,0.0756,0.8907
00505,2.2056,0.0756,0.8956
00506,2.2056,0.0754,0.8903
00507,2.2056,0.0754,0.8894
00508,2.2056,0.0753,0.9000
00509,2.2056,0.0753,0.8888
00510,2.2056,0.0752,0.8914
00511,2.2055,0.0751,0.8979
00512,2.2055,0.0751,0.8915
00513,2.2055,0.0750,0.8931
00514,2.2055,0.0750,0.8957
00515,2.2055,0.0748,0.8921
00516,2.2055,0.0748,0.8987
00517,2.2055,0.0747,0.8890
00518,2.2055,0.0747,0.8978
00519,2.2055,0.0746,0.8954
00520,2.2055,0.0746,0.8914
00521,2.2055,0.0745,0.8982
00522,2.2055,0.0744,0.8923
00523,2.2055,0.0744,0.9003
00524,2.2055,0.0743,0.8896
00525,2.2054,0.0743,0.9012
00526,2.2054,0.0742,0.8919
00527,2.2054,0.0742,0.8985
00528,2.2054,0.0741,0.8918
00529,2.2054,0.0740,0.9033
00530,2.2054,0.0740,0.8885
00531,2.2054,0.0740,0.9048
00532,2.2054,0.0739,0.8844
00533,2.2054,0.0739,0.9142
00534,2.2054,0.0741,0.8640
00535,2.2054,0.0743,0.9319
00536,2.2054,0.0752,0.8313
00537,2.2054,0.0756,0.9414
00538,2.2054,0.0772,0.8588
00539,2.2054,0.0745,0.8855
00540,2.2054,0.0739,0.9267
00541,2.2054,0.0748,0.8621
00542,2.2054,0.0744,0.9092
00543,2.2054,0.0737,0.9030
00544,2.2054,0.0736,0.8641
00545,2.2053,0.0740,0.9301
00546,2.2053,0.0743,0.8674
00547,2.2053,0.0737,0.9014
00548,2.2053,0.0733,0.9059
00549,2.2053,0.0732,0.8764
00550,2.2053,0.0734,0.9202
00551,2.2053,0.0739,0.8471
00552,2.2053,0.0743,0.9414
00553,2.2053,0.0762,0.8296
00554,2.2053,0.0748,0.9321
00555,2.2053,0.0743,0.8959
00556,2.2052,0.0730,0.8537
00557,2.2052,0.0739,0.9399
00558,2.2052,0.0752,0.8792
00559,2.2052,0.0732,0.8710
00560,2.2052,0.0732,0.9333
00561,2.2052,0.0745,0.8661
00562,2.2052,0.0733,0.8979
00563,2.2052,0.0726,0.9166
00564,2.2052,0.0730,0.8620
00565,2.2052,0.0732,0.9274
00566,2.2052,0.0734,0.8758
00567,2.2052,0.0727,0.9018
00568,2.2052,0.0723,0.9100
00569,2.2052,0.0723,0.8739
00570,2.2052,0.0726,0.9261
